wording
初めまして、上村（うえむら）といいます
到着しました　とうちゃくしました
前　まえ
北海道　ほっかいどう
十　とお
十一時　じゅういちじ
十二時　じゅうにじ
十四日　じゅうよっか
十日　とおか
十時　じゅうじ
千六百二十七円　せんろっぴゃくにじゅうななえん
千円　せんえん
千円札　せんえんさつ
去年　きょねん
参拝（さんぱい）の前にここで手水（てみず）をし　身（み）を清（きよ）めます
参拝をしました
参道（さんどう）を歩きます（あるきます）
参道には沢山（たくさん）のお店（みせ）があります
台所　だいどころ
右　みぎ
合計（ごうけい）でいくらですか
名古屋　なごや
四つ　よっつ
四日　よっか
四時　よじ
地下鉄　ちかてつ
大根　だいこん
大阪　おおさか
奈良　なら
妹さん　いもうとさん
娘さん　むすめさん
子供が使う食器（しょっき）をお願いします
家　いえ
小学校　しょうがっこう
居間　いま
左　ひだり
幼稚園　ようちえん
廊下　ろうか
建物　たてもの
弟さん　おとうとさん
後ろ　うしろ
息子さん　むすこさん
携帯　けいたい
携帯電話　けいたいでんわ
改札口　かいさつぐち
教室　きょうしつ
数えてみましょう　かぞえてみましょう
文房具　ぶんぼうぐ
新幹線　しんかんせん
明後日　あさって
時計　とけい
机　つくえ
来年　らいねん
校庭　こうてい
桃　もも
梨　なし
椅子　いす
楊（よう）さんはちゅうごくのどちらの出身（しゅっしん）ですか
楼門（ろうもん）を潜（くぐ）ると本殿（ほんでん）が見えてきます
横断歩道　おうだんほどう
橋（はし）を渡ります
歩道　ほどう
歩道橋　ほどうきょう
毎年　まいとし
毎月　まいつき
水性（すいせい）ペン
水色　みずいろ
油性（ゆせい）ペン
波　なみ
注文（ちゅうもん）をお願いします
洗濯機　せんたくき　せんたっき
浮き輪　うきわ
浴室　よくしつ
海　うみ
海鮮丼　かいせんどん
温（あたた・あった）かいお茶をもらえますか
牛　うし
牛乳（ぎゅうにゅう）とバターとヨーグルトがあります
犬　いぬ
猫　ねこ
猿　さる
玄関　げんかん
玉ねぎ　たまねぎ
生徒　せいと
病院　びょういん
白　しろ
白ねぎ　しろねぎ
百五円　ひゃくごえん
百円　ひゃくえん
百円玉　ひゃくえんだま
皆（みんな）、真剣（しんけん）に練習しています
着きました　つきました
砂浜　すなはま
硬貨　こうか
神社　じんじゃ
福岡　ふくおか
私はお手頃（てごろ）価格（かかく）だと思います
私は福岡県（けん）から来ました
空港　くうこう
紫　むらさき
緑　みどり
緑がきれいです
線路　せんろ
美味しいコーヒーの完成です
自転車　じてんしゃ
色鉛筆　いろえんぴつ
茶色　ちゃいろ
葡萄　ぶどう
蕎麦屋（そばや）に来ました
蛍光（けいこう）ペン
行ってきます
赤　あか
車　くるま
車道　しゃどう
近く（ちかく）にコンビニはありますか
運動場　うんどうじょう
道　みち
道路標識　どうろひょうしき
部屋　へや
郵便局　ゆうびんきょく
野菜売り場　やさいうりば
銀行　ぎんこう
長ねぎ　ながねぎ
電車　でんしゃ
電車からの眺めです　でんしゃからのながめです
電車ホーム　でんしゃホーム
電車乗り場　でんしゃのりば
青　あお
靴　くつ
風呂場　ふろば
飛行機　ひこうき
馬　うま
駅　えき
高校　こうこう
高速道路　こうそくどうろ
髪（かみ）を切（き）てほしいです
髪をそめてほしいです
髪を染め（そめ）てほしいです
鳥　とり
鳥居　とりい
鹿　シカ
麦わら帽子　むぎわらぼうし
黄緑　きみどり
黄色　きいろ
黒　くろ
黒板　こくばん
